iter	RMSE
209	407.7242246
210	407.3657007
211	406.7915583
212	406.5894037
213	406.2100039
214	405.8066092
215	405.5151827
216	405.1977842
217	403.9777095
218	403.6484924
219	403.4676389
220	403.1534638
221	402.7247269
222	402.4448052
223	402.2553984
224	402.0091905
225	401.8877237
226	401.6203863
227	401.2712203
228	400.6704749
229	400.1649418
230	399.9791887
231	399.7472116
232	399.3241726
233	399.1505409
234	398.8700555
235	398.6403251
236	398.4845595
237	398.1715633
238	397.8238129
239	397.6857921
240	397.5475799
241	397.3411861
242	397.1475268
243	396.5900732
244	396.2010136
245	395.6822138
246	395.3421648
247	394.9364768
248	394.7304247
249	394.539918
250	394.4450673
251	394.1241569
252	394.0288732
253	393.7694329
254	393.5089258
255	393.3146385
256	393.1221092
257	392.6056778
258	392.4078023
259	392.3200437
260	391.7977368
261	391.6704319
262	391.5956632
263	391.21913
264	390.9095744
265	390.6815847
266	390.4686421
267	390.3100602
268	390.2424291
269	390.1103871
270	389.3841779
271	389.2359921
272	389.0976373
273	388.5620872
274	388.4095116
275	388.1153363
276	387.9085805
277	387.7811703
278	387.6588948
279	387.4989514
280	387.2028576
281	386.945407
282	386.465875
283	386.0284579
284	385.6703647
285	385.4031275
286	385.2314178
287	384.6580071
288	384.5605621
289	384.3457813
290	384.0038621
291	383.8127359
292	383.4171663
293	383.1658479
294	382.946657
295	382.7133136
296	382.5991194
297	382.3923549
298	382.0521291
299	381.8897031
300	381.7651025
301	381.3918189
302	381.2549562
303	381.1094781
304	380.9006381
305	380.5927893
306	380.2099089
307	380.1262278
308	379.967447
309	379.8823616
310	379.6999353
311	379.2029793
312	378.898631
313	378.8004741
314	378.6712455
315	378.4047766
316	378.0783185
317	377.8389939
318	377.7154886
319	377.5488044
320	377.4226353
321	377.2352949
322	377.0504673
323	376.8157738
324	376.6340348
325	376.4201409
326	376.2993723
327	375.9662684
328	375.7799718
329	375.3426718
330	375.1768478
331	375.0429552
332	374.8549109
333	374.223311
334	374.1434769
335	373.8333018
336	373.6624958
337	373.5599048
338	373.3809724
339	373.2737215
340	373.0937532
341	372.9725963
342	372.8185811
343	372.6891551
344	372.3457609
345	372.1840313
346	372.0652543
347	371.6064316
348	371.4489414
349	371.2041242
350	371.1341027
351	371.0279727
352	370.9480151
353	370.8512379
354	370.5911894
355	370.5098471
356	370.2215349
357	370.079435
358	369.9328952
359	369.8743663
360	369.7834984
361	369.7058753
362	369.5526577
363	369.2279587
364	369.1802572
365	368.8339799
366	368.5950902
367	368.5280595
368	368.4872845
369	368.2864046
370	368.1279451
371	367.7294913
372	367.6481951
373	367.5158528
374	367.3274081
375	367.1803525
376	366.87943
377	366.7507921
378	366.5797235
379	366.496183
380	366.4049312
381	366.2124947
382	366.1582216
383	365.8746486
384	365.7662927
385	365.6500098
386	365.4472973
387	365.3737553
388	365.1218575
389	365.061961
390	364.8827139
391	364.7793357
392	364.6708427
393	364.5231916
394	364.2752982
395	364.0259686
396	363.9266718
397	363.7866795
398	363.6848759
399	363.5474145
400	363.4777989
401	363.3888661
402	363.0888492
403	363.03278
404	362.8658
405	362.6758252
406	362.5205506
407	362.42343
408	362.2909167
409	362.1306301
410	361.9652191
411	361.8696789
412	361.6804785
413	361.4410392
414	361.3434492
415	361.2153609
416	361.0883473
417	360.993077
418	360.8637783
419	360.7433156
420	360.5719612
421	360.2363531
422	360.1493225
423	360.0848439
424	359.7479515
425	359.5535642
426	359.511701
427	359.3645562
428	359.2276362
429	359.1587881
430	358.9694612
431	358.7671286
432	358.6597543
433	358.5900825
434	358.3813069
435	358.2930694
436	358.2199798
437	358.1617331
438	357.9993179
439	357.9253719
440	357.7513875
441	357.6483245
442	357.5507984
443	357.4564625
444	357.1558508
445	356.9534715
446	356.8630084
447	356.6507968
448	356.5255309
449	356.4573005
450	356.058057
451	355.9017192
452	355.673137
453	355.603266
454	355.4554335
455	355.4122893
456	355.3179899
457	355.2316023
458	355.1957457
459	355.1566371
460	354.916848
461	354.6100588
462	354.5815826
463	354.5518814
464	354.4312186
465	354.3424583
466	353.981809
467	353.8914579
468	353.6036214
469	353.4801811
470	353.3936983
471	353.304334
472	353.217797
473	353.0653911
474	353.0099665
475	352.9542207
476	352.8820548
477	352.8175387
478	352.5709497
479	352.5389722
480	352.180737
481	352.1611703
482	352.1312358
483	352.0725608
484	352.0329966
485	351.8171939
486	351.6081991
487	351.5536136
488	351.436556
489	351.3586269
490	351.2939294
491	351.1942347
492	350.7052938
493	350.274923
494	350.1260902
495	350.0891788
496	349.9729763
497	349.8234735
498	349.7085649
499	349.5158565
500	349.3002095
501	349.1765207
502	349.1311641
503	349.0211818
504	348.9849401
505	348.8896629
506	348.7359298
507	348.4008707
508	348.3144795
509	348.2778658
510	348.2345742
511	348.0482716
512	347.9772346
513	347.9369379
514	347.8714564
515	347.818645
516	347.7831303
517	347.5532077
518	347.4719737
519	347.265507
520	347.0826651
521	346.9312137
522	346.7408382
523	346.6843154
524	346.6367763
525	346.2959361
526	346.2571706
527	346.1571458
528	345.7124135
529	345.3982562
530	345.3490056
531	345.0257518
532	345.0049164
533	344.8105911
534	344.63716
535	344.5486043
536	344.368892
537	344.2190979
538	344.168328
539	344.0733462
540	343.9038857
541	343.7879508
542	343.7223923
543	343.6139801
544	343.5415825
545	343.3230362
546	343.2046415
547	343.085451
548	343.0168979
549	342.5022152
550	342.4376591
551	342.2650774
552	342.213079
553	342.1566173
554	342.113693
555	342.0411253
556	341.8741301
557	341.815725
558	341.6787669
559	341.6179669
560	341.4881965
561	341.289715
562	341.0665577
563	340.9471798
564	340.8394902
565	340.7724173
566	340.427274
567	340.3523622
568	340.3045464
569	340.251036
570	340.1873716
571	340.1345419
572	340.0671346
573	340.0182567
574	339.7833382
575	339.695016
576	339.5897686
577	339.516308
578	339.3145436
579	339.2704653
580	339.0805416
581	338.9961602
582	338.8997093
583	338.8320563
584	338.7840497
585	338.7294119
586	338.6645479
587	338.3667098
588	338.2923016
589	338.1521765
590	338.0843878
591	337.9186724
592	337.858527
593	337.8372398
594	337.4357539
595	337.3804376
596	337.3214878
597	337.2861174
598	337.2517139
599	336.9353055
600	336.8046219
601	336.6513271
602	336.6148062
603	336.5753254
604	336.4172384
605	336.3424331
606	336.2859636
607	336.0705795
608	335.7000027
609	335.6141194
610	335.5543176
611	335.4304927
612	335.0533881
613	334.9427248
614	334.8710142
615	334.6947547
616	334.6572664
617	334.5467049
618	334.4268061
619	334.289754
620	334.2215478
621	334.1897674
622	334.1510789
623	334.1264255
624	334.0535435
625	333.9924127
626	333.9350544
627	333.8702164
628	333.7942198
629	333.7702335
630	333.6994524
631	333.6180003
632	333.3215978
633	333.1623549
634	333.053435
635	332.9306383
636	332.8469836
637	332.7984052
638	332.724677
639	332.5948246
640	332.4899133
641	332.3794319
642	332.2792141
643	332.0701625
644	331.948611
645	331.8346437
646	331.4801634
647	331.3608571
648	331.3193378
649	331.1460263
650	331.1005733
651	330.9979014
652	330.9625884
653	330.9290026
654	330.7601816
655	330.7302669
656	330.6616401
657	330.6193968
658	330.5633258
659	330.4753326
660	330.4187312
661	330.358761
662	330.263526
663	330.2033557
664	330.1143494
665	330.0752193
666	329.9410824
667	329.8660556
668	329.8046863
669	329.7656372
670	329.7146034
671	329.6027072
672	329.542007
673	329.4815626
674	329.4180273
675	329.2764584
676	329.1597424
677	329.1121679
678	329.0430212
679	329.0065999
680	328.9268036
681	328.8385438
682	328.7394735
683	328.6515156
684	328.591704
685	328.5563983
686	328.4610171
687	328.4126307
688	328.353223
689	328.310042
690	328.2560664
691	328.1645439
692	328.0547989
693	327.9985606
694	327.9025151
695	327.808505
696	327.6992157
697	327.5694472
698	327.5330596
699	327.4821817
700	327.4655866
701	327.3954602
702	327.3633089
703	327.3308902
704	327.3002868
705	327.1301138
706	327.0008859
707	326.919903
708	326.762413
709	326.7226147
710	326.6931008
711	326.5644451
712	326.5148946
713	326.4740912
714	326.2797693
715	326.1843837
716	326.1500042
717	326.043827
718	326.0138804
719	325.9601071
720	325.9279218
721	325.8899131
722	325.8694431
723	325.7121849
724	325.6245564
725	325.5751762
726	325.4954198
727	325.4261358
728	325.3860961
729	325.2802072
730	325.2482895
731	325.2192059
732	325.0868416
733	325.0443411
734	324.9141991
735	324.8640398
736	324.804848
737	324.755802
738	324.6415071
739	324.4026462
740	324.3662279
741	324.2323817
742	324.1680198
743	324.0617123
744	323.9521081
745	323.8971588
746	323.5674965
747	323.5241309
748	323.4714754
749	323.4436352
750	323.3825069
751	323.3415703
752	323.1216124
753	323.0854493
754	323.0311277
755	323.0040183
756	322.9829287
757	322.9126134
758	322.85704
759	322.7932203
760	322.7319215
761	322.6865511
762	322.6227741
763	322.3722548
764	322.2625683
765	322.2265053
766	322.1791494
767	322.1139183
768	322.0830959
769	322.0663355
770	321.9712381
771	321.9129501
772	321.8328211
773	321.7582568
774	321.7201168
775	321.4862253
776	321.4108875
777	321.3711478
778	321.3443885
779	321.3000652
780	321.1785719
781	321.1069153
782	321.0031626
783	320.9763274
784	320.9386097
785	320.9250907
786	320.8012311
787	320.7465992
788	320.6799825
789	320.5442467
790	320.5104016
791	320.4613284
792	320.4257079
793	320.3849502
794	320.3526095
795	320.2430775
796	320.2051874
797	320.0152336
798	319.9657539
799	319.9339116
800	319.9023737
801	319.8758086
802	319.8208603
803	319.7277052
804	319.6763174
805	319.5050267
806	319.4812399
807	319.3936343
808	319.2237697
809	319.201315
810	319.1772813
811	319.1408549
812	319.1346477
813	319.0434312
814	319.0102291
815	318.9228267
816	318.8114489
817	318.758707
818	318.7018406
819	318.6625142
820	318.5556865
821	318.5401171
822	318.4683306
823	318.1593258
824	318.0855977
825	318.0503685
826	317.8368317
827	317.7417648
828	317.6462552
829	317.6128384
830	317.5867163
831	317.5415465
832	317.4866394
833	317.4479191
834	317.3954111
835	317.3495145
836	317.2381134
837	317.2117102
838	317.1671171
839	317.1053747
840	317.0404643
841	316.994385
842	316.877649
843	316.7954148
844	316.7483315
845	316.7209069
846	316.5503139
847	316.5306372
848	316.5009771
849	316.2752381
850	316.2309317
851	315.9579121
852	315.7034529
853	315.5846394
854	315.4893469
855	315.450355
856	315.393919
857	315.3221474
858	315.2711855
859	315.1940971
860	315.1393834
861	314.9166979
862	314.860932
863	314.8405007
864	314.7797112
865	314.7508286
866	314.7331151
867	314.7029818
868	314.6443839
869	314.5423675
870	314.5223158
871	314.500238
872	314.4792018
873	314.4017476
874	314.2925446
875	314.2377049
876	314.1702754
877	314.1329523
878	314.0868957
879	314.0564787
880	313.8901129
881	313.8755547
882	313.7906274
883	313.7768156
884	313.7419424
885	313.7091002
886	313.615419
887	313.5486734
888	313.5100284
889	313.425058
890	313.4145823
891	313.3224003
892	313.3024588
893	313.2731034
894	313.2235787
895	313.1827038
896	313.0687061
897	313.0427884
898	313.0249386
899	312.9861141
900	312.880281
901	312.8524967
902	312.7938833
903	312.7360691
904	312.7031352
905	312.6418836
906	312.608775
907	312.5665882
908	312.5451281
909	312.5090696
910	312.4529001
911	312.4391099
912	312.4185403
913	312.1886114
914	312.1740666
915	312.1365843
916	312.1009202
917	312.064647
918	311.9428534
919	311.8335895
920	311.6185713
921	311.5273698
922	311.4922179
923	311.3049758
924	311.2778982
925	311.2369264
926	311.2021248
927	311.1544122
928	311.1175978
929	311.0096509
930	310.9837101
931	310.967117
932	310.9256313
933	310.902413
934	310.8438239
935	310.8119397
936	310.7943925
937	310.7193293
938	310.689222
939	310.6624131
940	310.6194897
941	310.5807545
942	310.4854123
943	310.4434035
944	310.3785994
945	310.3647282
946	310.3455494
947	310.3197836
948	310.3003822
949	310.2684371
950	310.2310376
951	310.2195121
952	310.2086515
953	310.1687063
954	310.0962888
955	310.0856498
956	310.0063958
957	309.8131382
958	309.7484216
959	309.7050133
960	309.6612799
961	309.6521147
962	309.57299
963	309.5362795
964	309.4577029
965	309.4136744
966	309.410459
967	309.3154368
968	309.2274971
969	309.1967673
970	309.0887048
971	309.0608187
972	309.0139519
973	308.9804169
974	308.9447577
975	308.9311056
976	308.8715159
977	308.8467135
978	308.8077022
979	308.782525
980	308.7561452
981	308.7440261
982	308.5594226
983	308.5144029
984	308.479487
985	308.458053
986	308.3769912
987	308.3276973
988	308.2178041
989	308.0594605
990	307.9647685
991	307.8799957
992	307.8589384
993	307.7791968
994	307.7581421
995	307.672791
996	307.5862029
997	307.4888354
998	307.4585057
999	307.4290657
